base	number	description	note	description_fin	note_fin	link_original	link_wordnet	backtrack	synset_id	import_id
aavistaa	1	See something coming, sense	Note: Not in sync with sense.01, no arg2 in Finnish	Aavistaa	Huom! Ei synkr. sense.01:n kanssa, suomessa ei arg2:a	NULL	NULL	NULL	NULL	NULL
ahdistaa	1	Feel anxious, be troubled	NULL	Ahdistaa, tuntea ahdistusta	NULL	none.01	NULL	NULL	NULL	NULL
ahdistua	1	Anguish, become anguished	Not sure if cause for anguish should be theme, but going with the model. (tags: model:anguish.01)	Ahdistua, tulla ahdistuneeksi	Ei varmaa, pitäisikö ahdistumisen syyn olla teema, mutta mennään mallin mukaan.	anguish.01	NULL	NULL	NULL	NULL
ahkeroida	1	Work hard	NULL	Tehdä ahkerasti jotakin, olla ahkera	NULL	none.01	NULL	NULL	NULL	NULL
ahmia	1	Consume, eat (e.g. food) excessively	(tags: seed:syödä, model:eat.01)	Nauttia, syödä (esim. ruokaa) paljon tai nopeasti		NULL	NULL	618	NULL	NULL
ahtautua	1	Squeeze, cram	NULL	Ahtautua	NULL	NULL	NULL	NULL	NULL	NULL
aidata	1	Fence off	tags:model:fence.01	Aidata	NULL	NULL	NULL	NULL	NULL	NULL
aiheuttaa	1	Cause	(tags: model:cause.01, seed:aiheuttaa)	Aiheuttaa, synnyttää, saada aikaan jotakin		cause.01	NULL	NULL	02003455	3d3d74c
aikaansaada	1	Achieve	(tags: model:achieve.01, phrasal)	Saada aikaan 	NULL	achieve.01	NULL	2853	NULL	NULL
aikaistaa	1	Bring foward, advance	(tags: model:advance.01)	Aikaistaa, siirtää aikaisemmaksi	NULL	advance.01	NULL	NULL	NULL	NULL
aikoa	1	Intend, plan	Not in sync with intend.01, this is auxiliary use in Finnish	Aikoa, suunnitella	Ei synkr. intend.01:n kanssa, suomessa apuverbi tässä merkityksessä	none.01	NULL	NULL	00979521, 00679914	4742969
aistia	1	Sense	Note: Not in sync with sense.01, no arg2 in Finnish	Aistia	Huom! Ei synkr. sense.01:n kanssa, suomessa ei arg2:a	NULL	NULL	NULL	NULL	NULL
aivastaa	1	Sneeze, suddenly expel air through mouth and nose	Note: not in sync with sneeze.01, no arg0 in Finnish but arg1 (in English to sneeze is also the same as to blow one's nose, that might explain the arg0)	Aivastaa, päästää äkkiä ilmaa suun ja nenän kautta	Huom! Ei synkr. sneeze.01:n kanssa, suomessa ei arg0 vaan arg1 (to sneeze on paitsi aivastaa myös niistää, tämä saattaa selittää arg0:n)	none.01	NULL	NULL	NULL	NULL
ajaa	1	Drive a vehicle	(tags: VVB)	Ohjata, ajaa autoa	NULL	none.01	NULL	NULL	02333424	47b98b5
ajaa	2	Chase	(tags: model:chase.01, phrasal)	Ajaa takaa	NULL	chase.01	NULL	NULL	01915724	34eba50
ajaa	3	Push an action	NULL	Ajaa asiaa	NULL	none.01	NULL	NULL	NULL	18861db
ajaa	4	Drive, chase off	NULL	Pakottaa liikkeelle, häätää	NULL	none.01	NULL	NULL	NULL	510002c
ajaa	5	Run a programme	NULL	Ajaa tai suorittaa ohjelma	NULL	none.01	NULL	NULL	NULL	48fbb15
ajaa	6	Shave	Note: not in sync with shave.01, no args 2 or 3 in Finnish	Ajaa parta tai hiukset	Huom! Ei synkr. shave.01:n kanssa, suomessa ei arg2 eikä 3:a	none.01	NULL	NULL	NULL	NULL
ajankohtaistaa	1	Make topical, current	NULL	Ajankohtaistaa	NULL	none.01	NULL	NULL	NULL	NULL
ajantasaistaa	1	Make topical, current	NULL	Ajankohtaistaa	NULL	none.01	NULL	2869	NULL	NULL
ajatella	1	Think something, ponder	(tags: seed:miettiä, model:ponder.01)	Ajatella jotain, tuumailla		none.01	NULL	NULL	00599167, 02049238	b22238
ajautua	1	End up	(tags: model:end.03, seed:päätyä)	Päätyä, ajautua	NULL	none.01	NULL	NULL	00343778	589e3f7
ajelehtia	1	Drift, move aimlessly	(tags: model:drift.01)	Liikkua päämäärättä	NULL	drift.01	NULL	NULL	NULL	NULL
ajella	1	Steer, drive a vehicle	(tags:model:steer.01)	Ohjata, ajaa autoa	NULL	none.01	NULL	1280	NULL	NULL
ajoittaa	1	Synchronize, set to happen at a certain time	(tags: model:time.02)	Synkronoida, asettaa tapahtumaan tiettyyn aikaan	NULL	time.02	NULL	NULL	NULL	NULL
aktivoida	1	Activate, make active	(tags: model:activate.01)	Aktivoida, tehdä aktiiviseksi	NULL	activate.01	NULL	NULL	NULL	NULL
