base	number	argnum	definition	note	definition_fin	note_fin
aavistaa	1	0	Experiencer	NULL	Taho, joka aavistaa	NULL
aavistaa	1	1	Thing sensed	NULL	Aavistettu asia	NULL
ahdistaa	1	0	Causer of anxiety	Causer	Ahdistuksen aiheuttaja	Aiheuttaja
ahdistaa	1	1	Entity feeling anxious	Experiencer	Taho, joka on ahdistunut	Kokija
ahdistua	1	0	Creature feeling anguish	Experiencer	Olento, joka tuntee ahdistusta	Kokija
ahdistua	1	1	Reason for anguish	NULL	Ahdistuksen syy	NULL
ahkeroida	1	0	Entity working hard	NULL	Taho, joka ahkeroi	NULL
ahkeroida	1	2	Thing arg0 is working hard with	NULL	Asia, jonka parissa arg0 ahkeroi	NULL
ahmia	1	0	Entity eating	NULL	Taho, joka syö	NULL
ahmia	1	1	Entity or thing eaten	NULL	Taho tai asia joka syödään	NULL
ahtautua	1	1	Entity squeezing, cramming in	NULL	Taho, joka ahtautuu	NULL
ahtautua	1	2	Space crammed into	NULL	Tila, jonne ahtaudutaan	NULL
aidata	1	0	Entity fencing something off	NULL	Taho, joka aitaa	NULL
aidata	1	1	Thing fenced	NULL	Aidattu asia	NULL
aidata	1	2	Space outside fence	NULL	Tila, joka jää ulkopuolelle	NULL
aiheuttaa	1	0	Entity causing something	NULL	Taho, joka aiheuttaa jotakin	NULL
aiheuttaa	1	1	Thing caused	NULL	Aiheutettu asia	NULL
aikaansaada	1	0	Achiever	NULL	Taho, joka saa aikaan 	NULL
aikaansaada	1	1	Thing achieved	NULL	Asia, joka saadaan aikaan 	NULL
aikaistaa	1	0	Entity advancing	NULL	Taho, joka aikaistaa	NULL
aikaistaa	1	1	Thing advanced	NULL	Asia, jota aikaistetaan	NULL
aikaistaa	1	2	EXT	NULL	EXT	NULL
aikaistaa	1	3	Start point	NULL	Alkutila	NULL
aikaistaa	1	4	End point	NULL	Lopputila	NULL
aikoa	1	0	Entity intending	NULL	Taho, joka aikoo	NULL
aikoa	1	1	Thing intended	NULL	Asia, jota tai johon aiotaan	NULL
aistia	1	0	Experiencer	NULL	Taho, joka aistii	NULL
aistia	1	1	Thing sensed	NULL	Aistittu asia	NULL
aivastaa	1	1	Creature sneezing	NULL	Olento, joka aivastaa	NULL
ajaa	1	0	Entity driving	NULL	Taho, joka ajaa kulkuneuvoa	NULL
ajaa	1	1	Thing driven	(e.g. a horse)	Asia, jota ajetaan	(esim. hevonen)
ajaa	1	2	DIR, destination, path	NULL	DIR, päämäärä, polku	NULL
ajaa	1	3	Competition, distance	NULL	Kilpailu, ajettu matka	NULL
ajaa	2	0	Entity, who chases	NULL	Taho, joka ajaa takaa	NULL
ajaa	2	1	Entity or thing chased	NULL	Taho tai asia,jota ajetaan takaa	NULL
ajaa	3	0	Entity pushing an action	NULL	Taho, joka ajaa asiaa	NULL
ajaa	3	1	Pushed action	NULL	Ajettu asia	NULL
ajaa	4	0	Entity driving	NULL	Taho, joka ajaa	NULL
ajaa	4	1	Entity drived	NULL	Ajettu taho	NULL
ajaa	4	2	Start point	NULL	Alkupiste	NULL
ajaa	4	3	End point	NULL	Loppupiste	NULL
ajaa	5	0	Entity who runs the computer	NULL	Taho, joka käyttää tietokonetta	NULL
ajaa	5	1	Programme	NULL	Ohjelma	NULL
ajaa	6	0	Entity who shaves	NULL	Taho, joka ajaa	NULL
ajaa	6	1	Beard or hair	NULL	Parta tai hiukset	NULL
ajankohtaistaa	1	0	Entity making something topical	NULL	Taho, joka tekee jostakin ajankohtaista	NULL
ajankohtaistaa	1	1	Thing made topical	NULL	Asia, josta tulee ajankohtainen	NULL
ajantasaistaa	1	0	Entity making something topical	NULL	Taho, joka tekee jostakin ajankohtaista	NULL
ajantasaistaa	1	1	Thing made topical	NULL	Asia, josta tulee ajankohtainen	NULL
ajatella	1	0	Entity thinking	NULL	Taho, joka ajattelee	NULL
ajatella	1	1	Thought	NULL	Ajatus	NULL
ajautua	1	1	Entity ending up	NULL	Taho tai asia, joka päätyy	NULL
ajautua	1	2	New state or place	NULL	Uusi tila tai paikka	NULL
ajelehtia	1	1	Thing in motion	NULL	Asia, joka liikkuu	NULL
ajella	1	0	Entity steering	NULL	Taho, joka ajaa kulkuneuvoa	NULL
ajella	1	1	Entity steered	(e.g. a horse)	Taho, jota ajetaan	(esim. hevonen)
ajella	1	2	DIR, destination	NULL	DIR, päämäärä	NULL
ajoittaa	1	0	Entity setting the time	NULL	Taho, joka asettaa ajan	NULL
ajoittaa	1	1	Event or thing whose time is set	NULL	Tapahtuma tai asia, jonka aika asetetaan	NULL
ajoittaa	1	2	Thing according to which the time of arg1 is set	NULL	Asia, jonka mukaan arg1:n aika asetetaan	NULL
aktivoida	1	0	Entity making something active	NULL	Taho, joka tekee jostain aktiivisen	NULL
aktivoida	1	1	Entity or thing becoming active	NULL	Taho tai asia, josta tulee aktiivinen	NULL
